
> evolution-frontend-os@0.1.0 dev
> next dev --turbopack -p 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.123.34:3000
- Environments: .env

✓ Starting...
✓ Ready in 843ms
 GET /productos 200 in 55ms (compile: 3ms, render: 52ms)
 GET /productos 200 in 49ms (compile: 3ms, render: 46ms)
 GET /productos 200 in 47ms (compile: 2ms, render: 45ms)
 GET /productos 200 in 47ms (compile: 1526µs, render: 45ms)
 GET /productos 200 in 48ms (compile: 1542µs, render: 46ms)
 GET /productos 200 in 46ms (compile: 2ms, render: 44ms)
 GET /productos 200 in 45ms (compile: 4ms, render: 41ms)
 GET /productos 200 in 42ms (compile: 2ms, render: 39ms)
 GET /productos 200 in 40ms (compile: 1712µs, render: 38ms)
 GET /productos 200 in 41ms (compile: 1867µs, render: 39ms)
 GET /productos 200 in 42ms (compile: 1290µs, render: 41ms)
 GET /productos 200 in 42ms (compile: 1240µs, render: 41ms)
 GET /productos 200 in 43ms (compile: 1244µs, render: 42ms)
 GET /productos 200 in 43ms (compile: 1595µs, render: 42ms)
 GET /productos 200 in 42ms (compile: 1460µs, render: 41ms)
 GET /productos 200 in 44ms (compile: 1102µs, render: 43ms)
 GET /productos 200 in 43ms (compile: 2ms, render: 41ms)
 GET /productos 200 in 45ms (compile: 1593µs, render: 43ms)
 GET /productos 200 in 49ms (compile: 1136µs, render: 48ms)
 GET /productos 200 in 50ms (compile: 1309µs, render: 49ms)
 GET /productos 200 in 54ms (compile: 1778µs, render: 52ms)
 GET /productos 200 in 53ms (compile: 3ms, render: 50ms)
 GET /productos 200 in 55ms (compile: 3ms, render: 52ms)
 GET /productos 200 in 62ms (compile: 2ms, render: 60ms)
 GET /productos 200 in 66ms (compile: 1695µs, render: 64ms)
 GET /productos 200 in 65ms (compile: 3ms, render: 62ms)
 GET /productos 200 in 53ms (compile: 4ms, render: 49ms)
 GET /productos 200 in 44ms (compile: 3ms, render: 41ms)
 GET /productos 200 in 61ms (compile: 2ms, render: 58ms)
 GET /productos 200 in 61ms (compile: 4ms, render: 58ms)
 GET /productos 200 in 64ms (compile: 2ms, render: 62ms)
 GET /productos 200 in 61ms (compile: 4ms, render: 58ms)
 GET /productos 200 in 53ms (compile: 1857µs, render: 51ms)
 GET /productos 200 in 62ms (compile: 3ms, render: 59ms)
 GET /productos 200 in 59ms (compile: 2ms, render: 57ms)
 GET /productos 200 in 49ms (compile: 2ms, render: 47ms)
 GET /productos 200 in 59ms (compile: 3ms, render: 56ms)
 GET /productos 200 in 50ms (compile: 2ms, render: 48ms)
 GET /productos 200 in 39ms (compile: 1973µs, render: 37ms)
 GET /productos 200 in 49ms (compile: 1343µs, render: 48ms)
 GET /productos 200 in 39ms (compile: 2ms, render: 37ms)
 GET /productos 200 in 35ms (compile: 2ms, render: 32ms)
 GET /productos 200 in 40ms (compile: 1543µs, render: 38ms)
 GET /productos 200 in 51ms (compile: 3ms, render: 49ms)
 GET /productos 200 in 41ms (compile: 2ms, render: 39ms)
 GET /productos 200 in 50ms (compile: 4ms, render: 46ms)
 GET /productos 200 in 37ms (compile: 1771µs, render: 35ms)
 GET /productos 200 in 44ms (compile: 1950µs, render: 42ms)
 GET /productos 200 in 39ms (compile: 2ms, render: 37ms)
 GET /productos 200 in 36ms (compile: 1339µs, render: 35ms)
 GET /productos 200 in 35ms (compile: 1617µs, render: 34ms)
 GET /productos 200 in 27ms (compile: 1154µs, render: 26ms)
 GET /productos 200 in 27ms (compile: 1132µs, render: 26ms)
 GET /productos 200 in 25ms (compile: 1337µs, render: 24ms)
 GET /productos 200 in 34ms (compile: 1438µs, render: 32ms)
 GET /productos 200 in 34ms (compile: 1210µs, render: 33ms)
 GET /productos 200 in 34ms (compile: 1365µs, render: 32ms)
 GET /productos 200 in 35ms (compile: 1081µs, render: 34ms)
 GET /productos 200 in 37ms (compile: 1104µs, render: 36ms)
 GET /productos 200 in 39ms (compile: 917µs, render: 38ms)
 GET /productos 200 in 40ms (compile: 1326µs, render: 38ms)
